Date,Open,High,Low,Close,Adj Close,Volume
2022-12-01,253.869995,256.119995,250.919998,254.690002,254.690002,26041500
2022-12-02,249.820007,256.059998,249.690002,255.020004,255.020004,21522800
2022-12-05,252.009995,253.820007,248.059998,250.199997,250.199997,23435300
2022-12-06,250.820007,251.860001,243.779999,245.119995,245.119995,22463700
2022-12-07,244.830002,246.160004,242.210007,244.369995,244.369995,20481500
2022-12-08,244.839996,248.740005,243.059998,247.399994,247.399994,22611800
2022-12-09,244.699997,248.309998,244.160004,245.419998,245.419998,20607100
